No.,유지관리번호,작업유형,시공사,고객사,유지관리명,진척률,작업기간,,비용계정,PO금액,PR번호,PO번호
,,,,,,,시작,종료,,,,
118,CI25017280,사택 공가 수장공사,일성건축,솔루션,사택 102-403 수장작업,0,2025-11-25,2025-12-10,기숙사/사택 수선비,"4,708,500",93106018-60,4570135646-10
119,CI25017279,사택 단열작업,일성건축,솔루션,사택 102-403 작은방 단열작업,100,2025-11-25,2025-11-26,기숙사/사택 수선비,"799,800",93106018-70,4570135647-10
120,CI25017278,사택 공가 수장공사,일성건축,솔루션,사택 7-407 수장작업,0,2025-12-04,2025-12-12,기숙사/사택 수선비,"3,594,800",93106057-10,4570135648-10
121,CI25017277,사택 공가 수장공사,일성건축,솔루션,사택 9-101 수장작업,0,2025-12-05,2025-12-17,기숙사/사택 수선비,"5,571,725",93106057-20,4570135649-10
122,CI25017276,사택 공가 수장공사,일성건축,솔루션,사택 9-202 수장작업,0,2025-12-05,2025-12-17,기숙사/사택 수선비,"4,555,850",93106057-30,4570135650-10
123,CI25017275,사택 단열작업,일성건축,솔루션,사택 9-202 앞베란다 다용도실 단열작업,0,2025-12-02,2025-12-03,기숙사/사택 수선비,"1,054,575",93106057-40,4570135651-10
124,CI25017274,사택 공가 수장공사,일성건축,솔루션,사택 9-502 수장작업,0,2025-12-08,2025-12-17,기숙사/사택 수선비,"5,571,725",93106057-50,4570135652-10
125,CI25017273,사택 단열작업,일성건축,솔루션,사택 9-502 앞베란다 다용도실 단열작업,0,2025-12-01,2025-12-02,기숙사/사택 수선비,"1,054,575",93106057-60,4570135628-10
126,CI25017272,사택 단열작업,일성건축,솔루션,사택 103-306 거실 및 방 단열작업,0,2025-11-26,2025-11-28,기숙사/사택 수선비,"3,008,925",93106084-10,4570135629-10
127,CI25017271,사택 공가 수장공사,일성건축,솔루션,사택 103-306 수장작업,0,2025-11-27,2025-12-10,기숙사/사택 수선비,"5,792,100",93106084-20,4570135630-10
128,CI25017270,사택 누수보수,일성건축,솔루션,사택 103-404 UBR욕조 누수작업,0,2025-11-28,2025-12-01,기숙사/사택 수선비,"793,350",93106084-30,4570135631-10
129,CI25017269,사택 공가 수장공사,일성건축,솔루션,사택 103-404 수장작업,0,2025-11-26,2025-12-12,기숙사/사택 수선비,"5,792,100",93106084-40,4570135653-10
130,CI25017268,사택 단열작업,일성건축,솔루션,사택 103-404 작은방 단열작업,0,2025-11-28,2025-12-01,기숙사/사택 수선비,"1,421,150",93106084-50,4570135654-10
131,CI25017555,사택 공가 수장공사,일성건축,화학,기숙사 B동 202-1호외 5세대 도배 및 기타작업,0,2025-12-08,2025-12-10,기숙사/사택 수선비,"3,450,750",94535763-10,
132,CI25017814,사택 누수보수,일성건축,솔루션,사택 102동 어린이집 놀이터 화단 외벽 개선,100,2025-11-05,2025-11-07,어린이집,"885,800",93109836-10,
133,CI25018046,긴급 건축 보수(후정산),일성건축,솔루션,기숙사 및 사택 긴급 작업(건축)-9차,0,2025-11-28,2025-12-30,기숙사/사택 수선비,"4,897,700",93112379-10,
134,CI25018045,사택 공가 수장공사,일성건축,솔루션,사택 7-406 수장작업,0,2025-12-04,2025-12-12,기숙사/사택 수선비,"3,594,800",93112380-10,
135,CI25018047,사택 7동 LED등 교체,대양이엔지,솔루션,사택 7-207외 2세대 LED등기구 교체,0,2025-12-12,2025-12-12,기숙사/사택 수선비,"1,510,375",93112378-10,
